poiID,avgDuration,nVisit,poiCat,poiLon,poiLat,popularity
1,3018.9415584415583,308,Sport,-79.379243379063,43.64318250142281,129
2,2332.102564102564,78,Sport,-79.41863385714308,43.63277161740573,55
3,1418.3,200,Sport,-79.3800452078488,43.66217527180223,83
4,5291.538011695907,342,Sport,-79.38928974410585,43.64129736845744,155
6,1379.5304347826086,345,Cultural,-79.39239594093709,43.65366205295312,209
7,1515.0481927710844,498,Cultural,-79.37732735752459,43.647150975158695,252
8,3285.0616740088108,227,Cultural,-79.3853489798394,43.64238526267252,157
9,3673.6944444444443,36,Cultural,-79.33916950000024,43.71644713669081,26
10,2013.1341463414635,82,Cultural,-79.36110748265887,43.66706691907516,32
11,2605.7804391217564,501,Cultural,-79.3944584713709,43.66718257115105,269
12,3136.9864864864867,74,Cultural,-79.18221148856527,43.82008013305617,40
13,2124.133333333333,105,Cultural,-79.40936380912937,43.67815669398353,85
14,965.9736842105264,38,Amusement,-79.41700068794327,43.63392419148936,29
15,1697.6046511627908,43,Amusement,-79.3735729115044,43.61983586725666,41
16,2971.145067698259,517,Amusement,-79.38706547902999,43.642849137630805,377
17,6392.653846153846,52,Amusement,-79.41601125371233,43.63256282673258,37
18,1037.4,15,Amusement,-79.45080761538462,43.6371833846154,15
19,558.5769230769231,52,Beach,-79.3782267477478,43.62169749549551,41
20,435.55555555555554,27,Beach,-79.46238176404492,43.64655716853935,18
21,1582.520782396088,818,Beach,-79.38045327151268,43.65627400696254,309
22,1785.7616959064328,684,Beach,-79.38370190118991,43.65247820927004,346
23,1468.289224952741,529,Shopping,-79.3798840401936,43.65386815219711,253
24,2175.0037453183522,267,Shopping,-79.38232002042837,43.63862138326839,149
25,1173.5382716049382,405,Shopping,-79.4011678236331,43.65474784303318,212
26,1198.3235294117646,34,Shopping,-79.45268321153846,43.725760711538456,29
27,950.7666666666667,240,Shopping,-79.3909345777776,43.67010353968252,116
28,899.0794871794872,390,Structure,-79.38118417735065,43.65218102670948,234
29,1351.360294117647,136,Structure,-79.39126472274569,43.66213848048437,97
30,1509.2198581560283,564,Structure,-79.3805837906372,43.64565054031221,255
